pmid	year	title	actividad_catalitica	evidencia_de_esa_afirmacion	organismo	actividad_necesaria_para_el_checkpoint	residuo_o_dominio_mencionado	frase_clave
15907836	2005	The mitotic checkpoint gene BubR1 has two distinct functions in mitosis.	pseudoquinasa/inactiva	Mutante kinase dead (sin dominio quinasa funcional en C-terminal) que prolonga la mitosis, indicando que la actividad quinasa no es requerida para ciertas funciones	humano	no	residues 382-420 (GLEBS motif, unión a Bub3); residues 1-477 (truncación sin dominio C-terminal quinasa)	kinase dead mutant showed normal checkpoint function
17702574	2008	Drosophila BubR1 is essential for meiotic sister-chromatid cohesion and maintenance of synapton	activa	El alelo bubR1 mutante contiene una mutación puntual en el dominio quinasa pero retiene la actividad del SAC mitótico (spindle assembly checkpoint)	Drosophila	si	dominio quinasa (kinase domain)	retains mitotic SAC activity despite point mutation in kinase domain
22698286	2012	The vertebrate mitotic checkpoint protein BUBR1 is an unusual pseudokinase.	pseudoquinasa/inactiva	Análisis evolutivo mostrando degeneración de motivos catalíticos; demostración experimental de que la catálisis putativa es prescindible para la segregación cromosómica correcta	humano	no	KEN box (amino-terminal); tríada catalítica; residuos que interactúan con ATP	putative catalysis by human BUBR1 is dispensable for error-free chromosome segregation
22997493	2013	Activated PTHLH coupling feedback phosphoinositide to G-protein receptor signal-induced cell ad	no se pronuncia		humano	no se pronuncia		
23067341	2013	Structural and functional insights into the role of the N-terminal Mps1 TPR domain in the SAC (	no se pronuncia		humano	no se pronuncia	TPR (tetratricopeptide repeat) domain en N-terminus; stretch de aminoácidos en N-terminus muy extremo	overall high similarity to the TPR motif of checkpoint kinases Bub1 and BubR1
23079597	2013	Integration of kinase and phosphatase activities by BUBR1 ensures formation of stable kinetocho	pseudoquinasa/inactiva	Denominación explícita en el abstract: 'The pseudokinase BUBR1'		si	KARD (kinase-associated regulatory domain)	pseudokinase BUBR1 is essential for this, because it is a core component of the mitotic checkpoint
23345399	2013	Direct binding between BubR1 and B56-PP2A phosphatase complexes regulate mitotic progression.	no se pronuncia			si	serina 670, serina 676, residuos hidrofóbicos alrededor de serina 670	BubR1 inhibits progression into anaphase in response to improper kinetochore-microtubule interactions
23789096	2013	BUBR1 recruits PP2A via the B56 family of targeting subunits to promote chromosome congression.	no se pronuncia		humano	no se pronuncia		BUBR1 recruits PP2A via the B56 family of targeting subunits
24151075	2014	Monopolar spindle 1 (MPS1) kinase promotes production of closed MAD2 (C-MAD2) conformer and ass	no se pronuncia		humano	no se pronuncia		
24431077	2014	Synuclein &#x3b3; compromises spindle assembly checkpoint and renders resistance to antimicrotu	activa	SNCG inhibe la actividad quinasa de BubR1 demostrado por el hecho de que SNCG-BubR1 interaction compromete la función SAC	humano	si	N-terminal TPR (tetratricopeptidelike folds) motif de BubR1; C-terminal (Gln106-Asp127) de SNCG	SNCG binds to spindle checkpoint kinase BubR1 and inhibits its kinase activity
