pmid	year	title	modelo	relacion_BubR1_senescencia	intervencion	resultado_de_la_intervencion	es_ensayo_en_humanos	riesgo_tumoral_mencionado	frase_clave
25483095	2015	Mad2 and BubR1 modulates tumourigenesis and paclitaxel response in MKN45 gastric cancer ce	células MKN45 y ST2957 de cáncer gástrico humano	BubR1 bajo/silenciado induce fenotipo similar a senescencia con β-galactosidasa-SA elevada e IL-6/IL-8 aumentada	Silenciamiento de BubR1 (y Mad2) mediante interferencia génica; tratamiento con paclitaxel	Disminución de proliferación, migración e invasión; inducción de senescencia; mayor supervivencia celular tras paclitaxel	False	BubR1/Mad2 elevados promueven transformación celular y progresión tumoral; senescencia podría prevenir tumorogénesis	senescence could prevent tumorigenesis in GC
25897860	2016	Mouse oocytes depend on BubR1 for proper chromosome segregation but not for prophase I arr	ratón - knockout condicional de BubR1 en oocitos	Reducción fuerte de BubR1 en oocitos de mujeres en menopausia y ovarios de ratones envejecidos; declive relacionado con la edad contribuye a aneuploidización	Knockout condicional de BubR1 en oocitos de ratón	BubR1 requerido para actividad del checkpoint de ensamblaje del huso, timing de meiosis I, y establecimientos robustos de uniones cinetocoro-microtúbulo; no requerido para arresto profase I	False		declive relacionado con la edad de BubR1 es determinante clave de aneuploidía
25964054	2016	BubR1 kinase: protection against aneuploidy and premature aging.	ratones (modelos murinos)	BubR1 regula el envejecimiento normal; niveles de BubR1 se asocian con funciones anti-envejecimiento			False	BubR1 como diana terapéutica potencial para desarrollo de terapias anticáncer innovadoras	BubR1 protection against aneuploidy and premature aging
26423835	2016	Attenuation of p38&#x3b1; MAPK stress response signaling delays the in vivo aging of skele	ratón mutante dominante negativo p38α (DN-p38α(AF/+))	BubR1 es un factor protector juvenil cuya declinación está asociada al envejecimiento muscular; su mantenimiento mediante atenuación de p38α retrasa el envejecimiento	Atenuación in vivo de la actividad p38α en el gastrocnemio mediante ratón haploinsuficiente dominante negativo	Retraso de procesos asociados a la edad: mantenimiento de factores protectores juveniles (BubR1, ALDH1A1, ALDH2), atenuación de p16(Ink4a) y p19(Arf), disminución de marcadores de estrés oxidativo y senescencia, preservación de masa muscular	False	Atenuación de expresión de genes supresores de tumores p16(Ink4a) y p19(Arf) del locus Cdkn2a en el contexto del envejecimiento retrasado	elevated P-p38α activity promotes skeletal muscle aging and maintenance of beneficial healthspan
26464273	2016	A novel in vitro model of sarcopenia using BubR1 hypomorphic C2C12 myoblasts.	células C2C12 de ratón (mioblastos hipomórficos BubR1)	insuficiencia de BubR1 causa envejecimiento prematuro en ratones; se utilizó para crear un modelo in vitro de sarcopenia	knockdown de BubR1 mediante shRNA en células C2C12	células C2C12BKD muestran características de músculo sarcopénico: formación reducida de miotubos, disminución de expresión de miojenina y MyoD, aumento de expresión de ubiquitina ligasas Atrogin-1 y MuRF-1	False		C2C12BKD cells display characteristics of sarcopenic muscle cell
26681803	2016	Whole chromosome aneuploidy in the brain of Bub1bH/H and Ercc1-/&#x394;7 mice.	ratones Bub1b(H/H) y Ercc1(-/Δ7)	Bub1b defectuoso (punto de control mitótico averiado) se asocia con envejecimiento acelerado y características progeroide			False		Aneuploid cells in mutant mice are likely eliminated early in development through apoptosis
26847209	2016	Haplo-insufficiency of both BubR1 and SGO1 accelerates cellular senescence.	ratón - fibroblastos embrionarios murinos primarios (MEFs) con mutaciones en BubR1 y/o SGO1	Haploinsuficiencia de BubR1 acelera la senescencia celular; el efecto se potencia cuando se combina con deficiencia de SGO1	Generación de MEFs knockout con mutaciones en BubR1, SGO1, o ambos; comparación de fondos genéticos	MEFs BubR1(+/-) SGO1(+/-) mostraron senescencia celular acelerada con cambios morfológicos, expresión de β-galactosidasa asociada a senescencia, y niveles elevados de p21	False	Haploinsuficiencia de BubR1 o SGO1 resulta en inestabilidad cromosómica mejorada y desarrollo tumoral en intestino	combined deficiency of BubR1 and Sgo1 accelerates cellular senescence
26883501	2016	Vascular Cell Senescence Contributes to Blood-Brain Barrier Breakdown.	ratón hipomórfico BubR1 (BubR1^H/H); modelo in vitro de BBB con células endoteliales, pericitos y astrocitos	BubR1^H/H muestra aumento de actividad β-galactosidasa asociada a senescencia y expresión de p16^INK4a en células endoteliales y pericitos, exacerbando el fenotipo de senescencia			False		accumulation of senescent vascular cells is associated with compromised BBB integrity
27533343	2017	Emerging links among Chromosome Instability (CIN), cancer, and aging.	ratones con inestabilidad cromosómica (CIN) con mutaciones transgénicas en reguladores mitóticos				False	CIN es mutagénico y puede causar mutaciones celulares adicionales que pueden ser carcinogénicas. Células dañadas mitóticamente activan supresores tumorales relacionados con senescencia (p21, p27, p16), que pueden llevar a senescencia/envejecimiento a nivel tisular. Inmunidad parcial debilitada permite supervivencia de células senescentes y aneuploides, creando microambiente inflamatorio, pro-tumorigénico y pro-envejecimiento.	CIN itself is mutagenic and may cause further cellular mutations, which can be carcinogenic
27922816	2017	The progeroid gene BubR1 regulates axon myelination and motor function.	ratón hipomorfico BubR1 (BubR1H/H)	Bajos niveles de BubR1 se asocian con fenotipos progeroide y defectos en mielinización axonal; sobreabundancia se vincula con envejecimiento saludable			False		BubR1 es determinante clave de la producción y función oligodendrocítica
28229533	2017	Expansion of myeloid-derived suppressor cells with aging in the bone marrow of mice throug	ratón C57BL/6 envejecido (>2 años), ratón progerio Ercc1-/Δ, ratón BubR1H/H	El modelo BubR1H/H muestra aumento similar de MDSCs en médula ósea con envejecimiento acelerado	Reducción genética de p65/RelA (subunidad de NF-κB) en ratones Ercc1-/Δ	La reducción de p65/RelA abrogó el aumento de MDSCs en médula ósea de ratones Ercc1-/Δ	False		NF-κB activation with aging drives an increase in the percentage of MDSCs
